pattern,tag
hi,greeting
hello,greeting
hey,greeting
good morning,greeting
good evening,greeting
hey bot,greeting
hello chatbot,greeting
hi there,greeting
greeting,greeting
good afternoon,greeting
bye,goodbye
goodbye,goodbye
see you,goodbye
take care,goodbye
catch you later,goodbye
bye bot,goodbye
see you later,goodbye
thanks,thanks
thank you,thanks
thanks a lot,thanks
much appreciated,thanks
thank you so much,thanks
awesome thanks,thanks
help,help
what can you do,help
show command,help
how can you help,help
feature,help
supported weather information,help
who are you,bot_name
what is your name,bot_name
your name,bot_name
are you a chatbot,bot_name
introduce yourself,bot_name
weather today,weather_overview
current weather,weather_overview
weather report,weather_overview
weather update,weather_overview
how is the weather,weather_overview
today weather,weather_overview
show weather,weather_overview
complete weather report,weather_overview
weather in delhi,weather_overview
weather in mumbai,weather_overview
weather in chennai,weather_overview
weather in hyderabad,weather_overview
weather in bengaluru,weather_overview
weather in kolkata,weather_overview
weather in visakhapatnam,weather_overview
what is the current temperature,current_temperature
show current temperature,current_temperature
current current temperature,current_temperature
tell me the current temperature,current_temperature
current temperature today,current_temperature
today current temperature,current_temperature
can you check the current temperature,current_temperature
i need the current temperature,current_temperature
give me the current temperature,current_temperature
latest current temperature,current_temperature
current temperature in delhi,current_temperature
current temperature in mumbai,current_temperature
current temperature in chennai,current_temperature
current temperature in hyderabad,current_temperature
current temperature in bengaluru,current_temperature
current temperature in kolkata,current_temperature
current temperature in visakhapatnam,current_temperature
what is the feel like temperature,feels_like_temperature
show feel like temperature,feels_like_temperature
current feel like temperature,feels_like_temperature
tell me the feel like temperature,feels_like_temperature
feel like temperature today,feels_like_temperature
today feel like temperature,feels_like_temperature
can you check the feel like temperature,feels_like_temperature
i need the feel like temperature,feels_like_temperature
give me the feel like temperature,feels_like_temperature
latest feel like temperature,feels_like_temperature
feel like temperature in delhi,feels_like_temperature
feel like temperature in mumbai,feels_like_temperature
feel like temperature in chennai,feels_like_temperature
feel like temperature in hyderabad,feels_like_temperature
feel like temperature in bengaluru,feels_like_temperature
feel like temperature in kolkata,feels_like_temperature
feel like temperature in visakhapatnam,feels_like_temperature
what is the minimum temperature,minimum_temperature
show minimum temperature,minimum_temperature
current minimum temperature,minimum_temperature
tell me the minimum temperature,minimum_temperature
minimum temperature today,minimum_temperature
today minimum temperature,minimum_temperature
can you check the minimum temperature,minimum_temperature
i need the minimum temperature,minimum_temperature
give me the minimum temperature,minimum_temperature
latest minimum temperature,minimum_temperature
minimum temperature in delhi,minimum_temperature
minimum temperature in mumbai,minimum_temperature
minimum temperature in chennai,minimum_temperature
minimum temperature in hyderabad,minimum_temperature
minimum temperature in bengaluru,minimum_temperature
minimum temperature in kolkata,minimum_temperature
minimum temperature in visakhapatnam,minimum_temperature
what is the maximum temperature,maximum_temperature
show maximum temperature,maximum_temperature
current maximum temperature,maximum_temperature
tell me the maximum temperature,maximum_temperature
maximum temperature today,maximum_temperature
today maximum temperature,maximum_temperature
can you check the maximum temperature,maximum_temperature
i need the maximum temperature,maximum_temperature
give me the maximum temperature,maximum_temperature
latest maximum temperature,maximum_temperature
maximum temperature in delhi,maximum_temperature
maximum temperature in mumbai,maximum_temperature
maximum temperature in chennai,maximum_temperature
maximum temperature in hyderabad,maximum_temperature
maximum temperature in bengaluru,maximum_temperature
maximum temperature in kolkata,maximum_temperature
maximum temperature in visakhapatnam,maximum_temperature
what is the humidity,humidity
show humidity,humidity
current humidity,humidity
tell me the humidity,humidity
humidity today,humidity
today humidity,humidity
can you check the humidity,humidity
i need the humidity,humidity
give me the humidity,humidity
latest humidity,humidity
humidity in delhi,humidity
humidity in mumbai,humidity
humidity in chennai,humidity
humidity in hyderabad,humidity
humidity in bengaluru,humidity
humidity in kolkata,humidity
humidity in visakhapatnam,humidity
what is the wind speed,wind_speed
show wind speed,wind_speed
current wind speed,wind_speed
tell me the wind speed,wind_speed
wind speed today,wind_speed
today wind speed,wind_speed
can you check the wind speed,wind_speed
i need the wind speed,wind_speed
give me the wind speed,wind_speed
latest wind speed,wind_speed
wind speed in delhi,wind_speed
wind speed in mumbai,wind_speed
wind speed in chennai,wind_speed
wind speed in hyderabad,wind_speed
wind speed in bengaluru,wind_speed
wind speed in kolkata,wind_speed
wind speed in visakhapatnam,wind_speed
what is the wind direction,wind_direction
show wind direction,wind_direction
current wind direction,wind_direction
tell me the wind direction,wind_direction
wind direction today,wind_direction
today wind direction,wind_direction
can you check the wind direction,wind_direction
i need the wind direction,wind_direction
give me the wind direction,wind_direction
latest wind direction,wind_direction
wind direction in delhi,wind_direction
wind direction in mumbai,wind_direction
wind direction in chennai,wind_direction
wind direction in hyderabad,wind_direction
wind direction in bengaluru,wind_direction
wind direction in kolkata,wind_direction
wind direction in visakhapatnam,wind_direction
what is the wind gust,wind_gust
show wind gust,wind_gust
current wind gust,wind_gust
tell me the wind gust,wind_gust
wind gust today,wind_gust
today wind gust,wind_gust
can you check the wind gust,wind_gust
i need the wind gust,wind_gust
give me the wind gust,wind_gust
latest wind gust,wind_gust
wind gust in delhi,wind_gust
wind gust in mumbai,wind_gust
wind gust in chennai,wind_gust
wind gust in hyderabad,wind_gust
wind gust in bengaluru,wind_gust
wind gust in kolkata,wind_gust
wind gust in visakhapatnam,wind_gust
what is the air pressure,pressure
show air pressure,pressure
current air pressure,pressure
tell me the air pressure,pressure
air pressure today,pressure
